full_name_ingredient,name_ingredient_ru,format_ingredient_ru,category_ru,ingredient_format_cat,calories_kcal,moisture_per,protein_per,carbohydrate_per,fats_per,ash_g,fiber_g,cholesterol_mg,total_sugar_g,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,zinc_mg,manganese_mg,selenium_mcg,iodine_mcg,choline_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_d_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_k_mcg,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,lutein_zeaxanthin_mcg,lycopene_mcg,retinol_mcg,linoleic_acid_g,alpha_linolenic_acid_g,arachidonic_acid_g,epa_g,dha_g
"TURKEY,ALL CLASSES,DK MEAT,RAW",Индейка,Тёмное Мясо,Мясо,Индейка — Тёмное Мясо,125.0,74.48,20.07,0.0,4.38,0.93,0.0,69.0,0.0,17.0,184.0,22.0,77.0,286.0,1.75,0.147,3.22,0.022,28.6,0.0,0.0,0.0,0.0,0.3,0.081,0.221,3.075,1.155,0.36,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.028,0.036,0.001,0.002
"APPLES,RAW,WITH SKIN",Фрукты,Яблоки,Овощи и фрукты,Фрукты — Яблоки,52.0,85.56,0.26,13.81,0.17,0.19,2.400000095,0.0,10.39000034,6.0,11.0,5.0,1.0,107.0,0.12,0.027,0.04,0.035,0.0,0.77,3.0,3.0,0.18,0.0,0.017,0.026,0.091,0.061,0.041,0.0,0.0,4.6,2.2,0.0,27.0,11.0,29.0,0.0,0.0,0.043,0.009,0.0,0.0,0.0
"APRICOTS,RAW",Фрукты,Абрикосы,Овощи и фрукты,Фрукты — Абрикосы,48.0,86.35,1.4,11.12,0.39,0.75,2.0,0.0,9.239999771,13.0,23.0,10.0,1.0,259.0,0.39,0.078,0.2,0.077,0.1,0.0,3.0,96.0,0.89,0.0,0.03,0.04,0.6,0.24,0.054,0.0,0.0,10.0,3.3,19.0,1094.0,104.0,89.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0
"BANANAS,RAW",Фрукты,Бананы,Овощи и фрукты,Фрукты — Бананы,89.0,74.91,1.09,22.84,0.33,0.82,2.599999905,0.0,12.22999954,5.0,22.0,27.0,1.0,358.0,0.26,0.078,0.15,0.27,1.0,2.25,10.0,3.0,0.1,0.0,0.031,0.073,0.665,0.334,0.367,0.0,0.0,8.7,0.5,25.0,26.0,0.0,22.0,0.0,0.0,0.046,0.027,0.0,0.0,0.0
"BLACKBERRIES,RAW",Ягоды,Ежевика,Овощи и фрукты,Ягоды — Ежевика,43.0,88.15,1.39,9.61,0.49,0.37,5.300000191,0.0,4.880000114,29.0,22.0,20.0,1.0,162.0,0.62,0.165,0.53,0.646,0.4,0.4,8.0,11.0,1.17,0.0,0.02,0.026,0.646,0.276,0.03,0.0,0.0,21.0,19.8,0.0,128.0,0.0,118.0,0.0,0.0,0.186,0.094,0.0,0.0,0.0
"BLUEBERRIES,RAW",Ягоды,Черника,Овощи и фрукты,Ягоды — Черника,57.0,84.21,0.74,14.49,0.33,0.24,2.400000095,0.0,9.960000038,6.0,12.0,6.0,1.0,77.0,0.28,0.057,0.16,0.336,0.1,0.3,6.0,3.0,0.57,0.0,0.037,0.041,0.418,0.124,0.052,0.0,0.0,9.7,19.3,0.0,32.0,0.0,80.0,0.0,0.0,0.088,0.058,0.0,0.0,0.0
"CRANBERRIES,RAW",Ягоды,Клюквы,Овощи и фрукты,Ягоды — Клюквы,46.0,87.13,0.39,12.2,0.13,0.15,4.599999905,0.0,4.039999962,8.0,13.0,6.0,2.0,85.0,0.25,0.061,0.1,0.36,0.1,0.0,6.0,3.0,1.2,0.0,0.012,0.02,0.101,0.295,0.057,0.0,0.0,13.3,5.1,0.0,36.0,0.0,91.0,0.0,0.0,0.033,0.022,0.0,0.0,0.0
"PEARS,RAW",Фрукты,Груши,Овощи и фрукты,Фрукты — Груши,58.0,83.71,0.38,15.46,0.12,0.33,3.099999905,0.0,9.800000191,9.0,11.0,7.0,1.0,119.0,0.17,0.082,0.1,0.049,0.1,1.0,5.0,1.0,0.12,0.0,0.012,0.025,0.157,0.048,0.028,0.0,0.0,4.2,4.5,0.0,13.0,2.0,45.0,0.0,0.0,0.093,0.001,0.0,0.0,0.0
"STRAWBERRIES,RAW",Ягоды,Клубника,Овощи и фрукты,Ягоды — Клубника,32.0,90.95,0.67,7.68,0.3,0.4,2.0,0.0,4.889999866,16.0,24.0,13.0,1.0,153.0,0.41,0.048,0.14,0.386,0.4,0.75,6.0,1.0,0.29,0.0,0.024,0.022,0.386,0.125,0.047,0.0,0.0,58.8,2.2,0.0,7.0,0.0,26.0,0.0,0.0,0.09,0.065,0.0,0.0,0.0
"PORK,FRSH,LOIN,WHL,LN,RAW",Свинина,Мясо,Мясо,Свинина — Мясо,143.0,72.23,21.43,0.0,5.66,1.05,0.0,59.0,0.0,17.0,211.0,23.0,52.0,389.0,0.84,0.062,1.84,0.012,36.1,1.8,76.0,2.0,0.18,0.5,0.989,0.267,4.915,0.781,0.527,0.0,0.63,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.49,0.02,0.07,0.0,0.0
