full_name_ingredient,name_ingredient_ru,format_ingredient_ru,category_ru,ingredient_format_cat,calories_kcal,moisture_per,protein_per,carbohydrate_per,fats_per,ash_g,fiber_g,cholesterol_mg,total_sugar_g,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,zinc_mg,manganese_mg,selenium_mcg,iodine_mcg,choline_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_d_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_k_mcg,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,lutein_zeaxanthin_mcg,lycopene_mcg,retinol_mcg,linoleic_acid_g,alpha_linolenic_acid_g,arachidonic_acid_g,epa_g,dha_g
"PARSNIPS,RAW",Пастернак,Обыкновенный,Зелень и специи,Пастернак — Обыкновенный,75.0,79.53,1.2,17.99,0.3,0.98,4.900000095,0.0,4.800000191,36.0,71.0,29.0,10.0,375.0,0.59,0.12,0.59,0.56,1.8,0.0,0.0,0.0,1.49,0.0,0.09,0.05,0.7,0.6,0.09,0.0,0.0,17.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.003,0.0,0.0,0.0
"PEAS,EDIBLE-PODDED,RAW",Горох,В Стручках,Овощи и фрукты,Горох — В Стручках,42.0,88.89,2.8,7.55,0.2,0.56,2.599999905,0.0,4.0,43.0,53.0,24.0,4.0,200.0,2.08,0.079,0.27,0.244,0.7,0.0,17.0,54.0,0.39,0.0,0.15,0.08,0.6,0.75,0.16,0.0,0.0,60.0,25.0,44.0,630.0,0.0,740.0,0.0,0.0,0.075,0.013,0.0,0.0,0.0
"PEAS,GREEN,RAW",Горох,Зелёный Горошек,Овощи и фрукты,Горох — Зелёный Горошек,81.0,78.86,5.42,14.45,0.4,0.87,5.099999905,0.0,5.670000076,25.0,108.0,33.0,5.0,244.0,1.47,0.176,1.24,0.41,1.8,0.5,28.0,38.0,0.13,0.0,0.266,0.132,2.09,0.104,0.169,0.0,0.0,40.0,24.8,21.0,449.0,0.0,2477.0,0.0,0.0,0.152,0.035,0.0,0.0,0.0
"POTATO,FLESH & SKN,RAW",Картофель,Обыкновенный,Овощи и фрукты,Картофель — Обыкновенный,77.0,79.34,2.02,17.47,0.09,1.08,2.200000048,0.0,0.779999971,12.0,57.0,23.0,6.0,421.0,0.78,0.108,0.29,0.153,0.3,1.2,12.0,0.0,0.01,0.0,0.08,0.032,1.054,0.296,0.295,0.0,0.0,19.7,1.9,0.0,1.0,0.0,8.0,0.0,0.0,0.032,0.01,0.0,0.0,0.0
"PUMPKIN,RAW",Тыква,Обыкновенный,Овощи и фрукты,Тыква — Обыкновенный,26.0,91.6,1.0,6.5,0.1,0.8,0.5,0.0,1.360000014,21.0,44.0,12.0,1.0,340.0,0.8,0.127,0.32,0.125,0.3,0.0,8.0,369.0,1.06,0.0,0.05,0.11,0.6,0.298,0.061,0.0,0.0,9.0,1.1,515.0,3100.0,2145.0,1500.0,0.0,0.0,0.002,0.003,0.0,0.0,0.0
"SEAWEED,KELP,RAW,KELP,RAW",Водоросли,Морская Капуста (Ламинария),Зелень и специи,Водоросли — Морская Капуста (Ламинария),43.0,81.58,1.68,9.57,0.56,6.61,1.299999952,0.0,0.600000024,168.0,42.0,121.0,233.0,89.0,2.85,0.13,1.23,0.2,0.7,3500.0,13.0,6.0,0.87,0.0,0.05,0.15,0.47,0.642,0.002,0.0,0.0,3.0,66.0,0.0,70.0,0.0,0.0,0.0,0.0,0.02,0.004,0.012,0.004,0.0
"SEAWEED,LAVER,RAW",Водоросли,Морская Водоросль (Нори),Зелень и специи,Водоросли — Морская Водоросль (Нори),35.0,85.03,5.81,5.11,0.28,3.77,0.300000012,0.0,0.49000001,70.0,58.0,2.0,48.0,356.0,1.8,0.264,1.05,0.988,0.7,2460.0,10.0,260.0,1.0,0.0,0.098,0.446,1.47,0.521,0.159,0.0,0.0,39.0,4.0,0.0,3121.0,0.0,0.0,0.0,0.0,0.004,0.001,0.009,0.08,0.0
"SPINACH,RAW",Шпинат,Обыкновенный,Зелень и специи,Шпинат — Обыкновенный,23.0,91.4,2.86,3.63,0.39,1.72,2.200000048,0.0,0.419999987,99.0,49.0,79.0,79.0,558.0,2.71,0.13,0.53,0.897,1.0,6.1,18.0,469.0,2.03,0.0,0.078,0.189,0.724,0.065,0.195,0.0,0.0,28.1,482.9,0.0,5626.0,0.0,12198.0,0.0,0.0,0.026,0.138,0.0,0.0,0.0
"TURNIPS,RAW",Репа,Обыкновенный,Овощи и фрукты,Репа — Обыкновенный,28.0,91.87,0.9,6.43,0.1,0.7,1.799999952,0.0,3.799999952,30.0,27.0,11.0,67.0,191.0,0.3,0.085,0.27,0.134,0.7,0.3,11.0,0.0,0.03,0.0,0.04,0.03,0.4,0.2,0.09,0.0,0.0,21.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.04,0.0,0.0,0.0
"SQUASH,SMMR,ALL VAR,RAW",Кабачок,Обыкновенный,Овощи и фрукты,Кабачок — Обыкновенный,16.0,94.64,1.21,3.35,0.18,0.62,1.100000024,0.0,2.200000048,15.0,38.0,17.0,2.0,262.0,0.35,0.051,0.29,0.175,0.2,0.3,7.0,10.0,0.12,0.0,0.048,0.142,0.487,0.155,0.218,0.0,0.0,17.0,3.0,0.0,120.0,0.0,2125.0,0.0,0.0,0.033,0.056,0.0,0.0,0.0
"ARUGULA,RAW",Руккола,Обыкновенный,Зелень и специи,Руккола — Обыкновенный,25.0,91.71,2.58,3.65,0.66,1.4,1.600000024,0.0,2.049999952,160.0,52.0,47.0,27.0,369.0,1.46,0.076,0.47,0.321,0.3,0.0,15.0,119.0,0.43,0.0,0.044,0.086,0.305,0.437,0.073,0.0,0.0,15.0,108.6,0.0,1424.0,0.0,3555.0,0.0,0.0,0.13,0.17,0.002,0.0,0.0
"PUMPKIN&SQUASH SD KRNLS,DRIED",Семена,Тыквы и кабочка,Зелень и специи,Семена — Тыквы и кабочка,541.0,6.92,24.54,17.81,45.85,4.88,3.900000095,0.0,1.0,43.0,1174.0,535.0,18.0,807.0,14.97,1.387,7.46,3.021,5.6,0.0,63.0,19.0,0.0,0.0,0.21,0.32,1.745,0.339,0.224,0.0,0.0,1.9,51.4,0.0,228.0,0.0,0.0,0.0,0.0,20.7,0.12,0.131,0.0,0.0
"SUNFLOWER SD KRNLS,DRIED",Семена,Подсолнечника,Зелень и специи,Семена — Подсолнечника,584.0,4.73,20.78,20.0,51.46,3.02,8.600000381,0.0,2.619999886,78.0,660.0,325.0,9.0,645.0,5.25,1.8,5.0,1.95,53.0,0.0,55.0,3.0,33.23,0.0,1.48,0.355,8.335,1.13,1.345,0.0,0.0,1.4,0.0,0.0,30.0,0.0,0.0,0.0,0.0,23.0,0.06,0.0,0.014,0.0
"SEEDS,FLAXSEED",Семена,Льна,Зелень и специи,Семена — Льна,534.0,6.96,18.29,28.88,42.16,3.72,27.29999924,0.0,1.549999952,255.0,642.0,392.0,30.0,813.0,5.73,1.22,4.34,2.482,25.4,0.0,79.0,0.0,0.31,0.0,1.644,0.161,3.08,0.985,0.473,0.0,0.0,0.6,4.3,0.0,0.0,0.0,651.0,0.0,0.0,5.9,22.8,0.0,0.0,0.0
"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",Говядина,Грудинка,Мясо,Говядина — Грудинка,155.0,70.29,20.72,0.0,7.37,1.02,0.0,62.0,0.0,5.0,201.0,23.0,79.0,330.0,1.92,0.08,4.31,0.014,16.4,1.0,86.0,0.0,0.32,0.2,0.1,0.17,3.94,0.35,0.42,0.0,2.43,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.03,0.0,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",Говядина,Сердце,Мясо,Говядина — Сердце,112.0,77.11,17.72,0.14,3.94,1.1,0.0,124.0,0.0,7.0,212.0,21.0,98.0,287.0,4.31,0.396,1.7,0.035,21.8,1.9,0.0,0.0,0.22,0.0,0.238,0.906,7.53,1.79,0.279,0.0,8.55,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.395,0.016,0.128,0.0,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Говядина,Почки,Мясо,Говядина — Почки,103.0,77.89,17.4,0.29,3.09,1.33,0.0,411.0,0.0,13.0,257.0,17.0,182.0,262.0,4.6,0.426,1.92,0.142,141.0,10.5,0.0,419.0,0.22,1.1,0.357,2.84,8.03,3.97,0.665,0.0,27.5,9.4,0.0,0.0,0.0,0.0,0.0,20.0,419.0,0.292,0.013,0.228,0.0,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Говядина,Печень,Мясо,Говядина — Печень,135.0,70.81,20.36,3.89,3.63,1.31,0.0,275.0,0.0,5.0,387.0,18.0,69.0,313.0,4.9,9.755,4.0,0.31,39.7,4.3,333.0,4968.0,0.38,1.2,0.189,2.755,13.175,7.173,1.083,0.0,59.3,1.3,3.1,11.0,232.0,13.0,0.0,0.0,4948.0,0.299,0.016,0.141,0.0,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Говядина,Лёгкие,Мясо,Говядина — Лёгкие,92.0,79.38,16.2,0.0,2.5,0.98,0.0,242.0,0.0,10.0,224.0,14.0,198.0,340.0,7.95,0.26,1.61,0.019,44.3,0.0,0.0,14.0,0.0,0.0,0.047,0.23,4.0,1.0,0.04,0.0,3.81,38.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.17,0.02,0.14,0.0,0.0
"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Говядина,Язык,Мясо,Говядина — Язык,224.0,64.53,14.9,3.68,16.09,0.8,0.0,87.0,0.0,6.0,133.0,16.0,69.0,315.0,2.95,0.17,2.87,0.026,9.4,2.3,0.0,0.0,0.0,0.0,0.125,0.34,4.24,0.653,0.31,0.0,3.79,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.31,0.0,0.0
"WATER,BTLD,GENERIC",Вода,Обыкновенный,"Вода, соль и сахар",Вода — Обыкновенный,0.0,99.98,0.0,0.0,0.0,0.07,0.0,0.0,0.0,10.0,0.0,2.0,2.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TROUT,MIXED SPECIES,RAW",Рыба,Форель,Мясо,Рыба — Форель,148.0,71.42,20.77,0.0,6.61,1.17,0.0,58.0,0.0,43.0,245.0,22.0,52.0,361.0,1.5,0.188,0.66,0.851,12.6,7.4,65.0,17.0,0.2,3.9,0.35,0.33,4.5,1.94,0.2,0.0,7.79,0.5,0.1,0.0,0.0,0.0,0.0,0.0,17.0,0.175,0.155,0.189,0.202,0.528
"LENTILS,RAW",Чечевица,Обыкновенный,Крупы,Чечевица — Обыкновенный,353.0,10.4,25.8,60.08,1.06,2.67,30.5,0.0,2.029999971,56.0,451.0,122.0,6.0,955.0,7.54,0.519,4.78,1.33,8.3,0.0,96.0,2.0,0.49,0.0,0.873,0.211,2.605,2.14,0.54,0.0,0.0,4.4,5.0,0.0,23.0,0.0,0.0,0.0,0.0,0.414,0.112,0.0,0.0,0.0
"VEAL,COMP OF RTL CUTS,LN,RAW",Телятина,Мясо,Мясо,Телятина — Мясо,112.0,75.91,20.2,0.0,2.87,1.08,0.0,83.0,0.0,15.0,211.0,25.0,86.0,328.0,0.85,0.113,3.23,0.029,8.6,0.0,0.0,0.0,0.26,0.0,0.08,0.28,7.83,1.37,0.43,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.08,0.0,0.0
"GOAT,RAW",Козлятина,Мясо,Мясо,Козлятина — Мясо,109.0,75.84,20.6,0.0,2.31,1.11,0.0,57.0,0.0,13.0,180.0,0.0,82.0,385.0,2.83,0.256,4.0,0.038,8.8,1.0,0.0,0.0,0.0,0.0,0.11,0.49,3.75,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.06,0.0,0.0
"LAMB,VAR MEATS&BY-PRODUCTS,HEART,RAW",Ягненок,Сердце,Мясо,Ягненок — Сердце,122.0,76.71,16.47,0.21,5.68,0.93,0.0,135.0,0.0,6.0,175.0,17.0,89.0,316.0,4.6,0.397,1.87,0.046,32.0,0.0,0.0,0.0,0.0,0.0,0.37,0.99,6.14,2.63,0.39,0.0,10.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.13,0.09,0.04,0.03
"VEAL,VAR MEATS&BY-PRODUCTS,HEART,RAW",Телятина,Сердце,Мясо,Телятина — Сердце,110.0,77.69,17.18,0.08,3.98,1.07,0.0,104.0,0.0,5.0,211.0,18.0,77.0,261.0,4.24,0.34,1.47,0.036,33.3,0.0,0.0,0.0,0.0,0.0,0.52,1.0,6.4,2.78,0.43,0.0,13.76,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.03,0.24,0.03,0.0
"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Ягненок,Почки,Мясо,Ягненок — Почки,97.0,79.23,15.74,0.82,2.95,1.26,0.0,337.0,0.0,13.0,246.0,17.0,156.0,277.0,6.38,0.446,2.24,0.118,126.9,0.0,0.0,95.0,0.0,0.0,0.62,2.24,7.51,4.22,0.22,0.0,52.41,11.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.21,0.07,0.14,0.05,0.03
"VEAL,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",Телятина,Почки,Мясо,Телятина — Почки,99.0,79.07,15.76,0.85,3.12,1.2,0.0,364.0,0.0,11.0,241.0,16.0,178.0,272.0,3.36,0.494,1.97,0.08,80.0,0.0,0.0,92.0,0.0,0.0,0.32,1.9,6.99,3.3,0.37,0.0,28.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.3,0.04,0.18,0.05,0.02
"LAMB,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Ягненок,Печень,Мясо,Ягненок — Печень,139.0,71.37,20.38,1.78,5.02,1.44,0.0,371.0,0.0,7.0,364.0,19.0,70.0,313.0,7.37,6.979,4.66,0.184,82.4,0.0,0.0,7391.0,0.0,0.0,0.34,3.63,16.11,6.13,0.9,0.0,90.05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7391.0,0.32,0.07,0.36,0.0,0.0
"VEAL,VAR MEATS&BY-PRODUCTS,LIVER,RAW",Телятина,Печень,Мясо,Телятина — Печень,140.0,70.89,19.93,2.91,4.85,1.42,0.0,334.0,0.0,5.0,379.0,20.0,77.0,308.0,6.4,11.865,12.02,0.255,22.7,0.0,310.0,11707.0,0.37,0.0,0.173,2.44,10.55,6.065,0.957,0.0,59.85,0.7,0.9,13.0,11.0,11.0,0.0,0.0,11705.0,0.517,0.035,0.266,0.0,0.0
"LAMB,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Ягненок,Лёгкие,Мясо,Ягненок — Лёгкие,95.0,79.7,16.7,0.0,2.6,1.1,0.0,0.0,0.0,10.0,219.0,14.0,157.0,238.0,6.4,0.254,1.8,0.019,17.7,0.0,0.0,27.0,0.0,0.0,0.048,0.237,4.124,0.0,0.11,0.0,3.93,31.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
"VEAL,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",Телятина,Легкие,Мясо,Телятина — Легкие,90.0,80.5,16.3,0.0,2.3,1.1,0.0,229.0,0.0,7.0,288.0,12.0,108.0,274.0,5.23,0.241,1.16,0.018,17.2,0.0,0.0,0.0,0.0,0.0,0.047,0.231,4.025,0.0,0.11,0.0,3.83,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.3,0.0,0.0,0.0
"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW",Ягненок,Мясо,Мясо,Ягненок — Мясо,276.0,58.68,14.97,0.0,23.54,1.21,0.0,213.0,0.0,162.0,337.0,18.0,59.0,288.0,5.9,0.058,3.72,0.012,20.1,0.0,0.0,0.0,0.0,0.0,0.072,0.118,2.546,0.0,0.11,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.06,0.0,0.0,0.0
"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Ягненок,Язык,Мясо,Ягненок — Язык,222.0,66.6,15.7,0.0,17.17,0.92,0.0,156.0,0.0,9.0,184.0,21.0,78.0,257.0,2.65,0.212,2.32,0.049,15.0,0.0,0.0,0.0,0.0,0.0,0.15,0.38,4.65,0.97,0.18,0.0,7.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.51,0.06,0.0,0.0
"VEAL,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",Телятина,Язык,Мясо,Телятина — Язык,131.0,74.53,17.18,1.91,5.48,0.89,0.0,62.0,0.0,7.0,159.0,17.0,82.0,271.0,2.72,0.2,2.63,0.023,7.0,0.0,0.0,0.0,0.0,0.0,0.17,0.41,2.22,1.2,0.19,0.0,6.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
"GELATINS,DRY PDR,UNSWTND",Желатин,"Сухой Порошок, Несладкий",Зелень и специи,"Желатин — Сухой Порошок, Несладкий",335.0,13.0,85.6,0.0,0.1,1.3,0.0,0.0,0.0,55.0,39.0,22.0,196.0,16.0,1.11,2.161,0.14,0.105,39.5,0.0,38.0,0.0,0.0,0.0,0.025,0.23,0.085,0.125,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOLASSES,Патока,Обыкновенный,"Вода, соль и сахар",Патока — Обыкновенный,290.0,21.87,0.0,74.73,0.1,3.3,0.0,0.0,55.49000168,205.0,31.0,242.0,37.0,1464.0,4.72,0.487,0.29,1.53,17.8,0.0,13.0,0.0,0.0,0.0,0.041,0.002,0.93,0.804,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
"BARLEY,PEARLED,RAW",Перловка,Обыкновенный,Крупы,Перловка — Обыкновенный,352.0,10.09,9.91,77.72,1.16,1.11,15.60000038,0.0,0.800000012,29.0,221.0,79.0,9.0,280.0,2.5,0.42,2.13,1.322,37.7,0.0,38.0,1.0,0.02,0.0,0.191,0.114,4.604,0.282,0.26,0.0,0.0,0.0,2.2,0.0,13.0,0.0,160.0,0.0,0.0,0.505,0.055,0.0,0.0,0.0
"MILLET,RAW",Просо,Обыкновенный,Крупы,Просо — Обыкновенный,378.0,8.67,11.02,72.85,4.22,3.25,8.5,0.0,0.0,8.0,285.0,114.0,5.0,195.0,3.01,0.75,1.68,1.632,2.7,0.0,0.0,0.0,0.05,0.0,0.421,0.29,4.72,0.848,0.384,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.118,0.0,0.0,0.0
"RICE,BROWN,LONG-GRAIN,RAW",Рис,"Коричневый, Длиннозерный",Крупы,"Рис — Коричневый, Длиннозерный",370.0,10.37,7.94,77.24,2.92,1.53,3.5,0.0,0.850000024,23.0,333.0,143.0,7.0,223.0,1.47,0.277,2.02,3.743,23.4,2.0,31.0,0.0,1.2,0.0,0.401,0.093,5.091,1.493,0.509,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.968,0.032,0.0,0.0,0.0
OATS,Овес,Обыкновенный,Крупы,Овес — Обыкновенный,389.0,8.22,16.89,66.27,6.9,1.72,10.60000038,0.0,0.0,54.0,523.0,177.0,2.0,429.0,4.72,0.626,3.97,4.916,0.0,0.0,0.0,0.0,1.09,0.0,0.763,0.139,0.961,1.349,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.111,0.0,0.0,0.0
"RICE,BROWN,MEDIUM-GRAIN,RAW",Рис,"Коричневый, Среднезерный",Крупы,"Рис — Коричневый, Среднезерный",362.0,12.37,7.5,76.17,2.68,1.27,3.400000095,0.0,0.0,33.0,264.0,143.0,4.0,268.0,1.8,0.277,2.02,3.743,0.0,2.0,0.0,0.0,0.68,0.0,0.413,0.043,4.308,1.493,0.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918,0.041,0.0,0.0,0.0
"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",Рис,"Белый, Длиннозерный",Крупы,"Рис — Белый, Длиннозерный",365.0,11.62,7.13,79.95,0.66,0.64,1.299999952,0.0,0.119999997,28.0,115.0,25.0,5.0,115.0,4.31,0.22,1.09,1.088,15.1,2.0,6.0,0.0,0.11,0.0,0.576,0.049,4.192,1.014,0.164,223.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.031,0.0,0.0,0.0
"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",Рис,"Белый, Среднезерный",Крупы,"Рис — Белый, Среднезерный",360.0,12.89,6.61,79.34,0.58,0.58,1.399999976,0.0,0.0,9.0,108.0,35.0,1.0,86.0,4.36,0.11,1.16,1.1,15.1,2.0,0.0,0.0,0.11,0.0,0.578,0.048,5.093,1.342,0.145,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.027,0.0,0.0,0.0
"RICE,WHITE,SHORT-GRAIN,RAW",Рис,"Белый, Круглозерный (Короткозерный)",Крупы,"Рис — Белый, Круглозерный (Короткозерный)",358.0,13.29,6.5,79.15,0.52,0.54,2.799999952,0.0,0.0,3.0,95.0,23.0,1.0,76.0,4.23,0.21,1.1,1.037,15.1,2.0,0.0,0.0,0.0,0.0,0.565,0.048,4.113,1.287,0.171,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.024,0.0,0.0,0.0
SORGHUM,Сорго,Обыкновенный,Крупы,Сорго — Обыкновенный,339.0,9.2,11.3,74.63,3.3,1.57,6.300000191,0.0,0.0,28.0,287.0,0.0,6.0,350.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237,0.142,2.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.065,0.0,0.0,0.0
"WHEAT,HARD RED WINTER",Пшеница,Твёрдая Красная,Крупы,Пшеница — Твёрдая Красная,327.0,13.1,12.61,71.18,1.54,1.57,12.19999981,0.0,0.409999996,29.0,288.0,126.0,2.0,363.0,3.19,0.434,2.65,3.985,70.7,0.0,31.0,0.0,1.01,0.0,0.383,0.115,5.464,0.954,0.3,0.0,0.0,0.0,1.9,0.0,5.0,0.0,220.0,0.0,0.0,0.6,0.027,0.0,0.0,0.0
"WHEAT,SOFT RED WINTER",Пшеница,Мягкая Красная,Крупы,Пшеница — Мягкая Красная,331.0,12.17,10.35,74.24,1.56,1.68,12.5,0.0,0.409999996,27.0,493.0,126.0,2.0,397.0,3.21,0.45,2.63,4.391,0.0,0.0,0.0,0.0,1.01,0.0,0.394,0.096,4.8,0.85,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628,0.028,0.0,0.0,0.0
"WHEAT,HARD WHITE",Пшеница,Твёрдая Белая,Крупы,Пшеница — Твёрдая Белая,342.0,9.57,11.31,75.9,1.71,1.52,12.19999981,0.0,0.409999996,32.0,355.0,93.0,2.0,432.0,4.56,0.363,3.33,3.821,0.0,0.0,0.0,0.0,1.01,0.0,0.387,0.108,4.381,0.954,0.368,0.0,0.0,0.0,1.9,0.0,5.0,0.0,220.0,0.0,0.0,0.715,0.035,0.0,0.0,0.0
"WHEAT,SOFT WHITE",Пшеница,Мягкая Белая,Крупы,Пшеница — Мягкая Белая,340.0,10.42,10.69,75.36,1.99,1.54,12.69999981,0.0,0.409999996,34.0,402.0,90.0,2.0,435.0,5.37,0.426,3.46,3.406,0.0,0.0,0.0,0.0,1.01,0.0,0.41,0.107,4.766,0.85,0.378,0.0,0.0,0.0,1.9,0.0,5.0,0.0,220.0,0.0,0.0,0.8,0.036,0.0,0.0,0.0
Protein hydrolysate,Белковый гидролизат,Обыкновенный,Дополнительные пищевые компоненты,Белковый гидролизат — Обыкновенный,0.0,3.71,85.6,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
